distrSentence,distrQuestion,Distrator
"O_cachorro correu pelo parque e pegou a bolinha antes de ela cair no buraco.",O cachorro pegou a bolinha?,Distrator
"Ana comprou um novo livro de romance e passou a tarde inteira lendo.",Ana comprou um disco de vinil?,Distrator
"O_ônibus estava lotado, então Vicente decidiu caminhar até sua casa.",Vicente conseguiu entrar no ônibus?,Distrator
"O_quarto estava abafado, então Mariana abriu a janela para deixar o ar fresco entrar no quarto.",Mariana fechou a janela?,Distrator
"O_aluno estudou para a prova da disciplina difícil e conseguiu tirar uma nota excelente.",O aluno não estudou para a prova?,Distrator
"O_vento estava tão forte que derrubou algumas cadeiras do quintal.",O vento estava fraco?,Distrator
"João comprou flores para dar de presente no aniversário da mãe.",João comprou um bolo?,Distrator
"O_vizinho reformou a casa velha e pintou as paredes de azul claro.",O vizinho pintou as paredes de vermelho?,Distrator
"Carla fez um bolo de chocolate e levou para a festa dos colegas.",Carla levou brigadeiros para a festa?,Distrator
"Tiago estava dormindo, então o telefone tocou cinco vezes antes dele atender.",Tiago atendeu o telefone?,Distrator
"A_professora pediu silêncio para que os alunos conseguissem se concentrar.",A professora pediu que os alunos conversassem mais?,Distrator
"Valéria pediu para o menino colocar os brinquedos na caixa depois de brincar.",O menino deixou os brinquedos espalhados no chão?,Distrator
"No_inverno, as temperaturas caíram e a cidade ficou coberta de neblina.",A cidade ficou muito quente no inverno?,Distrator
"Depois do almoão, Júlia lavou a louça e organizou a cozinha.",Júlia deixou a cozinha bagunçada?,Distrator
"O_avião pousou no aeroporto com alguns minutos de atraso.",O avião pousou no horário exato?,Distrator
"Marcos esqueceu o guarda-chuva em casa e chegou ao trabalho molhado.",Marcos levou o guarda-chuva para o trabalho?,Distrator
"O_professor explicou o conteúdo novamente porque alguns alunos não entenderam.",Todos os alunos entenderam o conteúdo de primeira?,Distrator
"A_torneira ficou pingando a noite toda e desperdiãou muita água.",A torneira estava bem fechada?,Distrator
"No_fim de semana, os amigos decidiram fazer uma trilha para a cachoeira.",Os amigos passaram o fim de semana em casa?,Distrator
"O_gato pulou no sofá e logo depois subiu na mesa.",O gato ficou no chão o tempo todo?,Distrator
